NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Las Cruces, NM Metro Area",0.1158,0.1158,,,,,,,,,,,,,,
"Las Vegas-Henderson-Paradise, NV Metro Area",0.951,0.8387,1.0068,1.0938,1.1306,1.0641,1.0078,0.9808,0.9696,0.9578,0.9518,0.9471,0.9452,0.9451,0.9455,0.9715
"Lawrence, KS Metro Area",,,,,,,,,,,,,,,,
"Lawton, OK Metro Area",,,,,,,,,,,,,,,,
"Lebanon, PA Metro Area",0.1352,0.1352,,,,,,,,,,,,,,
"Lewiston, ID-WA Metro Area",0.2527,0.2527,,,,,,,,,,,,,,
"Lewiston-Auburn, ME Metro Area",,,,,,,,,,,,,,,,
"Lexington-Fayette, KY Metro Area",0.3766,0.0666,0.2,0.3766,,,,,,,,,,,,0.2053
"Lima, OH Metro Area",,,,,,,,,,,,,,,,
"Lincoln, NE Metro Area",,,,,,,,,,,,,,,,
"Little Rock-North Little Rock-Conway, AR Metro Area",0.3137,0.3077,0.3137,,,,,,,,,,,,,
"Logan, UT-ID Metro Area",,,,,,,,,,,,,,,,
"Longview, TX Metro Area",0.5466,0.3521,0.4358,0.5466,,,,,,,,,,,,0.4391
"Longview, WA Metro Area",,,,,,,,,,,,,,,,
"Los Angeles-Long Beach-Anaheim, CA Metro Area",1.0457,0.2508,0.3642,0.5186,0.6476,0.7444,0.8129,0.8621,0.8953,0.92,0.9399,0.9564,0.9699,0.981,0.9903,0.37
"Louisville/Jefferson County, KY-IN Metro Area",0.0428,0.0428,,,,,,,,,,,,,,
"Lubbock, TX Metro Area",0.2937,0.2278,0.2937,,,,,,,,,,,,,
"Lynchburg, VA Metro Area",,,,,,,,,,,,,,,,
"Macon-Bibb County, GA Metro Area",0.0584,0.0584,,,,,,,,,,,,,,
"Madera, CA Metro Area",,,,,,,,,,,,,,,,
"Madison, WI Metro Area",,,,,,,,,,,,,,,,
"Manchester-Nashua, NH Metro Area",0.1072,0.1072,,,,,,,,,,,,,,
"Manhattan, KS Metro Area",,,,,,,,,,,,,,,,
"Mankato, MN Metro Area",,,,,,,,,,,,,,,,
"Mansfield, OH Metro Area",0.2689,0.2689,,,,,,,,,,,,,,
"McAllen-Edinburg-Mission, TX Metro Area",0.0521,0.0521,,,,,,,,,,,,,,
"Medford, OR Metro Area",,,,,,,,,,,,,,,,
"Memphis, TN-MS-AR Metro Area",0.5318,0.1065,0.2309,0.393,0.5318,,,,,,,,,,,0.235
"Merced, CA Metro Area",0.5136,0.45,0.5136,,,,,,,,,,,,,
