NAMELSAD,beta_all,beta_top_2,beta_top_3,beta_top_4,beta_top_5,beta_top_6,beta_top_7,beta_top_8,beta_top_9,beta_top_10,beta_top_11,beta_top_12,beta_top_13,beta_top_14,beta_top_15,avg_beta_2_to_4,count_centers
"Lafayette, LA Metro Area",-0.787093021100131,-0.47941557096481335,-0.6090557615897216,-0.7870930211001312,,,,,,,,,,,,-0.6251881178848887,4
"Lafayette-West Lafayette, IN Metro Area",,,,,,,,,,,,,,,,,1
"Lake Charles, LA Metro Area",,,,,,,,,,,,,,,,,1
"Lakeland-Winter Haven, FL Metro Area",-0.3587254025287964,-0.3587254025287964,,,,,,,,,,,,,,,2
"Lancaster, PA Metro Area",,,,,,,,,,,,,,,,,1
"Lansing-East Lansing, MI Metro Area",-0.30677765590337897,-0.3067776559033793,,,,,,,,,,,,,,,2
"Laredo, TX Metro Area",,,,,,,,,,,,,,,,,1
"Las Cruces, NM Metro Area",,,,,,,,,,,,,,,,,1
"Las Vegas-Henderson-Paradise, NV Metro Area",-3.9691245019172916,-8.76818703541152,-8.290543981321704,-7.894663882321416,-3.1291952295106014,-3.060022836239736,-3.266689548052506,-3.384506307024133,-3.488542167444322,-3.6364233570471574,-3.8506016407982377,-3.9691245019172903,,,,-8.317798299684881,12
"Lawrence, KS Metro Area",,,,,,,,,,,,,,,,,1
"Lawton, OK Metro Area",,,,,,,,,,,,,,,,,1
"Lebanon, PA Metro Area",-0.3712229932521125,-0.3712229932521125,,,,,,,,,,,,,,,2
"Lewiston, ID-WA Metro Area",,,,,,,,,,,,,,,,,1
"Lewiston-Auburn, ME Metro Area",,,,,,,,,,,,,,,,,1
"Lexington-Fayette, KY Metro Area",-1.1050599135438754,-3.9732800675040827,-0.7216112560763552,-0.9229387712002514,-1.105059913543876,,,,,,,,,,,-1.8726100315935632,5
"Lima, OH Metro Area",,,,,,,,,,,,,,,,,1
"Lincoln, NE Metro Area",-0.2948977995908934,-0.2948977995908934,,,,,,,,,,,,,,,2
"Little Rock-North Little Rock-Conway, AR Metro Area",-0.5739026508072336,-1.2405450594285055,-0.5739026508072336,,,,,,,,,,,,,,3
"Logan, UT-ID Metro Area",,,,,,,,,,,,,,,,,1
"Longview, TX Metro Area",,,,,,,,,,,,,,,,,1
"Longview, WA Metro Area",,,,,,,,,,,,,,,,,1
