NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Monroe, LA Metro Area",1.5788,1.5788,,,,,,,,,,,,,,
"Monroe, MI Metro Area",,,,,,,,,,,,,,,,
"Montgomery, AL Metro Area",,,,,,,,,,,,,,,,
"Morgantown, WV Metro Area",,,,,,,,,,,,,,,,
"Morristown, TN Metro Area",,,,,,,,,,,,,,,,
"Mount Vernon-Anacortes, WA Metro Area",,,,,,,,,,,,,,,,
"Muncie, IN Metro Area",,,,,,,,,,,,,,,,
"Muskegon, MI Metro Area",,,,,,,,,,,,,,,,
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",0.2651,0.1482,0.2651,,,,,,,,,,,,,
"Napa, CA Metro Area",0.2222,0.2222,,,,,,,,,,,,,,
"Naples-Marco Island, FL Metro Area",0.4275,0.3567,0.4275,,,,,,,,,,,,,
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",0.438,1.5959,0.807,0.4812,0.438,,,,,,,,,,,0.9981
"New Bern, NC Metro Area",,,,,,,,,,,,,,,,
"New Haven-Milford, CT Metro Area",0.418,0.5753,0.418,,,,,,,,,,,,,
"New Orleans-Metairie, LA Metro Area",0.5751,0.4866,0.5751,,,,,,,,,,,,,
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",0.9335,1.1512,0.776,0.6453,0.6486,0.6776,0.7096,0.7409,0.7693,0.7948,0.8164,0.8339,0.8494,0.8629,0.8748,0.8744
"Niles, MI Metro Area",0.3218,0.3218,,,,,,,,,,,,,,
"North Port-Sarasota-Bradenton, FL Metro Area",0.5001,0.5001,,,,,,,,,,,,,,
"Norwich-New London, CT Metro Area",,,,,,,,,,,,,,,,
"Ocala, FL Metro Area",,,,,,,,,,,,,,,,
"Odessa, TX Metro Area",,,,,,,,,,,,,,,,
"Ogden-Clearfield, UT Metro Area",0.7809,0.6629,0.6334,0.7103,0.7809,,,,,,,,,,,0.6681
"Oklahoma City, OK Metro Area",0.4426,1.4276,0.5121,0.4118,0.4426,,,,,,,,,,,0.8198
"Olympia-Lacey-Tumwater, WA Metro Area",,,,,,,,,,,,,,,,
"Omaha-Council Bluffs, NE-IA Metro Area",,,,,,,,,,,,,,,,
"Orlando-Kissimmee-Sanford, FL Metro Area",0.6198,1.4872,1.7245,0.9008,0.6198,,,,,,,,,,,1.3819
"Oshkosh-Neenah, WI Metro Area",,,,,,,,,,,,,,,,
"Owensboro, KY Metro Area",,,,,,,,,,,,,,,,
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",,,,,,,,,,,,,,,,
"Palm Bay-Melbourne-Titusville, FL Metro Area",0.7206,0.823,0.7206,,,,,,,,,,,,,
"Parkersburg-Vienna, WV Metro Area",,,,,,,,,,,,,,,,
"Pensacola-Ferry Pass-Brent, FL Metro Area",,,,,,,,,,,,,,,,
"Peoria, IL Metro Area",,,,,,,,,,,,,,,,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",0.6192,0.6192,,,,,,,,,,,,,,
"Phoenix-Mesa-Chandler, AZ Metro Area",0.8701,1.0414,0.9356,0.9752,0.966,0.9042,0.8861,0.8674,0.8639,0.8665,0.8701,,,,,0.987
"Pine Bluff, AR Metro Area",,,,,,,,,,,,,,,,
"Pittsburgh, PA Metro Area",0.8053,0.7718,0.6825,0.7254,0.7169,0.7438,0.7759,0.8053,,,,,,,,0.7288
"Pittsfield, MA Metro Area",,,,,,,,,,,,,,,,
"Pocatello, ID Metro Area",,,,,,,,,,,,,,,,
"Port St. Lucie, FL Metro Area",,,,,,,,,,,,,,,,
"Portland-South Portland, ME Metro Area",,,,,,,,,,,,,,,,
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",0.7705,0.6025,0.5089,0.5606,0.6413,0.7136,0.7705,,,,,,,,,0.5595
"Poughkeepsie-Newburgh-Middletown, NY Metro Area",2.1362,1.8985,2.1362,,,,,,,,,,,,,
"Prescott Valley-Prescott, AZ Metro Area",,,,,,,,,,,,,,,,
"Providence-Warwick, RI-MA Metro Area",0.8552,1.1055,0.9082,0.9067,0.9151,0.8552,,,,,,,,,,0.9807
"Provo-Orem, UT Metro Area",,,,,,,,,,,,,,,,
"Pueblo, CO Metro Area",0.4106,0.4201,0.4106,,,,,,,,,,,,,
"Punta Gorda, FL Metro Area",,,,,,,,,,,,,,,,
"Racine, WI Metro Area",,,,,,,,,,,,,,,,
"Raleigh-Cary, NC Metro Area",0.0971,0.0971,,,,,,,,,,,,,,
"Rapid City, SD Metro Area",,,,,,,,,,,,,,,,
"Reading, PA Metro Area",,,,,,,,,,,,,,,,
"Redding, CA Metro Area",,,,,,,,,,,,,,,,
"Reno, NV Metro Area",1.8868,1.8868,,,,,,,,,,,,,,
"Richmond, VA Metro Area",,,,,,,,,,,,,,,,
"Riverside-San Bernardino-Ontario, CA Metro Area",0.8376,1.2528,1.1327,0.912,0.8631,0.8338,0.8209,0.816,0.8215,0.8263,0.8311,0.8376,,,,1.1089
"Roanoke, VA Metro Area",,,,,,,,,,,,,,,,
"Rochester, MN Metro Area",,,,,,,,,,,,,,,,
"Rochester, NY Metro Area",0.1644,0.0333,0.1644,,,,,,,,,,,,,
"Rockford, IL Metro Area",,,,,,,,,,,,,,,,
"Rocky Mount, NC Metro Area",,,,,,,,,,,,,,,,
"Rome, GA Metro Area",,,,,,,,,,,,,,,,
"Sacramento-Roseville-Folsom, CA Metro Area",0.8459,0.9762,0.88,0.832,0.8527,0.8312,0.8293,0.8347,0.8459,,,,,,,0.9007
"Saginaw, MI Metro Area",,,,,,,,,,,,,,,,
"Salem, OR Metro Area",0.4671,0.2039,0.3158,0.4671,,,,,,,,,,,,0.3212
