NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4,count_centers_x,count_centers_y
"Mobile, AL Metro Area",0.3884,1.9433,0.3679,0.2409,0.2716,0.328,0.3884,,,,,,,,,0.9114,7,7
"Modesto, CA Metro Area",1.0109,1.0299,1.1323,1.0689,1.0153,1.0109,,,,,,,,,,1.0748,6,6
"Monroe, LA Metro Area",0.7065,1.3178,0.7065,,,,,,,,,,,,,,3,3
"Monroe, MI Metro Area",,,,,,,,,,,,,,,,,1,1
"Montgomery, AL Metro Area",0.2298,0.2298,,,,,,,,,,,,,,,2,2
"Morgantown, WV Metro Area",,,,,,,,,,,,,,,,,1,1
"Morristown, TN Metro Area",,,,,,,,,,,,,,,,,1,1
"Mount Vernon-Anacortes, WA Metro Area",,,,,,,,,,,,,,,,,1,1
"Muncie, IN Metro Area",,,,,,,,,,,,,,,,,1,1
"Muskegon, MI Metro Area",,,,,,,,,,,,,,,,,1,1
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",0.5859,0.1594,0.2992,0.4595,0.5859,,,,,,,,,,,0.2971,5,5
"Napa, CA Metro Area",,,,,,,,,,,,,,,,,1,1
"Naples-Marco Island, FL Metro Area",0.4275,0.3567,0.4275,,,,,,,,,,,,,,3,3
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",0.6931,1.6767,0.7815,0.4984,0.4636,0.4923,0.5287,0.5685,0.6052,0.6385,0.6677,0.6931,,,,1.0251,12,12
"New Bern, NC Metro Area",,,,,,,,,,,,,,,,,1,1
"New Haven-Milford, CT Metro Area",0.6806,0.5753,0.4341,0.5068,0.5991,0.6806,,,,,,,,,,0.5088,6,6
"New Orleans-Metairie, LA Metro Area",0.9389,0.4665,0.5571,0.6077,0.6853,0.7519,0.8047,0.8457,0.8773,0.9022,0.9225,0.9389,,,,0.5393,12,12
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",0.9856,1.1754,0.7745,0.6476,0.6606,0.6902,0.7232,0.752,0.7784,0.8023,0.8234,0.8405,0.8547,0.8673,0.8785,0.8836,49,49
"Niles, MI Metro Area",0.3218,0.3218,,,,,,,,,,,,,,,2,2
"North Port-Sarasota-Bradenton, FL Metro Area",0.7847,0.5001,0.4492,0.545,0.6414,0.7212,0.7847,,,,,,,,,0.4977,7,7
"Norwich-New London, CT Metro Area",0.1727,0.1727,,,,,,,,,,,,,,,2,2
"Ocala, FL Metro Area",0.2087,0.2087,,,,,,,,,,,,,,,2,2
"Odessa, TX Metro Area",,,,,,,,,,,,,,,,,1,1
"Ogden-Clearfield, UT Metro Area",0.7406,0.3188,0.4781,0.631,0.7406,,,,,,,,,,,0.4665,5,5
"Oklahoma City, OK Metro Area",0.849,1.347,0.738,0.6045,0.6062,0.6433,0.6865,0.7194,0.7501,0.7763,0.7984,0.8177,0.8346,0.849,,0.922,14,14
"Olympia-Lacey-Tumwater, WA Metro Area",,,,,,,,,,,,,,,,,1,1
"Omaha-Council Bluffs, NE-IA Metro Area",0.763,0.1518,0.2959,0.4721,0.5947,0.6902,0.763,,,,,,,,,0.2971,7,7
"Orlando-Kissimmee-Sanford, FL Metro Area",0.6655,1.4872,1.7245,1.3017,0.9415,0.7836,0.7019,0.6734,0.6633,0.6623,0.6655,,,,,1.5059,11,11
"Oshkosh-Neenah, WI Metro Area",,,,,,,,,,,,,,,,,1,1
"Owensboro, KY Metro Area",,,,,,,,,,,,,,,,,1,1
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",0.2246,0.0982,0.2246,,,,,,,,,,,,,,3,3
"Palm Bay-Melbourne-Titusville, FL Metro Area",0.9527,0.823,0.905,0.9188,0.9527,,,,,,,,,,,0.879,5,5
"Parkersburg-Vienna, WV Metro Area",,,,,,,,,,,,,,,,,1,1
"Pensacola-Ferry Pass-Brent, FL Metro Area",0.3008,0.2358,0.3008,,,,,,,,,,,,,,3,3
"Peoria, IL Metro Area",0.4137,0.1535,0.2513,0.4137,,,,,,,,,,,,0.2654,4,4
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",0.9757,0.6317,0.4244,0.4822,0.5697,0.6492,0.7149,0.7675,0.8096,0.8432,0.8705,0.893,0.9115,0.927,0.94,0.519,19,19
