NAMELSAD,beta_all,beta_top_2,beta_top_3,beta_top_4,beta_top_5,beta_top_6,beta_top_7,beta_top_8,beta_top_9,beta_top_10,beta_top_11,beta_top_12,beta_top_13,beta_top_14,beta_top_15,avg_beta_2_to_4
"Medford, OR Metro Area",-3.475841973292064,-3.475841973292064,,,,,,,,,,,,,,
"Memphis, TN-MS-AR Metro Area",-0.7033878310710189,-2.591327160825074,-0.5689058777431241,-0.7033878310710189,,,,,,,,,,,,-1.2878736232130723
"Merced, CA Metro Area",-1.9205438604412044,-1.9257529163904885,-1.920543860441207,,,,,,,,,,,,,
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",-3.5465204350031887,-2.0951242593841797,-1.8305727749024596,-1.7915130995120894,-1.8951580730309225,-2.0587082027378103,-2.1225930214535413,-2.2776252077720223,-2.4677812614374606,-2.6023575744781096,-2.76504957372973,-2.9414877559527737,-3.123013652356475,-3.256801089264056,-3.3963615015761413,-1.9057367112662427
"Michigan City-La Porte, IN Metro Area",,,,,,,,,,,,,,,,
"Midland, MI Metro Area",,,,,,,,,,,,,,,,
"Midland, TX Metro Area",,,,,,,,,,,,,,,,
"Milwaukee-Waukesha, WI Metro Area",-0.584604162397903,-418.54474471843804,-1.1194225892646583,-0.584604162397903,,,,,,,,,,,,-140.08292382336688
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",-1.0356668161820548,-0.6787717334629217,-0.9482976954155424,-1.2288439679174554,-0.9682802306395129,-1.0356668161820517,,,,,,,,,,-0.9519711322653066
"Missoula, MT Metro Area",,,,,,,,,,,,,,,,
"Mobile, AL Metro Area",-0.5096525531802076,-268.49968963356116,-0.5096525531802076,,,,,,,,,,,,,
"Modesto, CA Metro Area",-1.3136278226611076,-1.506742765364013,-1.3136278226611071,,,,,,,,,,,,,
"Monroe, LA Metro Area",-6.578445433790048,-6.578445433790048,,,,,,,,,,,,,,
"Monroe, MI Metro Area",,,,,,,,,,,,,,,,
"Montgomery, AL Metro Area",,,,,,,,,,,,,,,,
"Morgantown, WV Metro Area",,,,,,,,,,,,,,,,
"Morristown, TN Metro Area",,,,,,,,,,,,,,,,
"Mount Vernon-Anacortes, WA Metro Area",,,,,,,,,,,,,,,,
"Muncie, IN Metro Area",,,,,,,,,,,,,,,,
"Muskegon, MI Metro Area",,,,,,,,,,,,,,,,
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",-0.5639355713853335,-0.3843031651619801,-0.5639355713853335,,,,,,,,,,,,,
"Napa, CA Metro Area",-0.49036873031505107,-0.49036873031505107,,,,,,,,,,,,,,
"Naples-Marco Island, FL Metro Area",-0.8002227609612662,-0.5800023130467616,-0.8002227609612668,,,,,,,,,,,,,
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",-0.7932987760413017,-5.671366046607904,-1.1481921927034144,-0.688922859149424,-0.7932987760413017,,,,,,,,,,,-2.5028270328202473
"New Bern, NC Metro Area",,,,,,,,,,,,,,,,
"New Haven-Milford, CT Metro Area",-0.569739531895609,-0.8025099813783046,-0.569739531895609,,,,,,,,,,,,,
"New Orleans-Metairie, LA Metro Area",-0.9514451691711191,-0.6870296008587038,-0.9514451691711191,,,,,,,,,,,,,
